 ,GRUPO A, 
1,APAGAO,3
2,CAETE,3
3,MANEJO,3
4,LARANJEIRA,1
5,IPIRANGA,1
6,VSGFC,0
7,ROSAGOMES,0
8,JUVENTUDE,0
 ,GRUPO B,
1,SAODOMINGOS,3
2,PEROBAS,3
3,SERAB,3
4,SOCIAL,3
5,POCOPEDRA,0
6,POLEMICA,0
7,PIUNA,0
8,ORVALHO,0
8,ORVALHO,0
